"Busyness","Frequency","Prosociality","Willingness To Help"
"medium",0.4,3.75,1.0
"free time",0.4,3.75,1.0
"high",0.8,4.875,0.0
"medium",0.8,4.875,1.0
"free time",0.8,4.875,1.0
"high",0.8,2.6875,0.0
"medium",0.8,2.6875,1.0
"free time",0.8,2.6875,0.75
"high",1.0,2.4375,0.0
"medium",1.0,2.4375,0.0
"free time",1.0,2.4375,0.0
"high",0.4,3.5625,0.0
"medium",0.4,3.5625,0.0
"free time",0.4,3.5625,0.0
"high",0.8,3.1875,0.0
"medium",0.8,3.1875,0.0
"free time",0.8,3.1875,0.25
"high",0.4,3.8125,0.0
"medium",0.4,3.8125,0.5
"free time",0.4,3.8125,0.5
"high",0.8,3.4375,0.0
"medium",0.8,3.4375,0.0
"free time",0.8,3.4375,0.0
"high",0.6,4.4375,0.0
"medium",0.6,4.4375,0.3333333333333333
"free time",0.6,4.4375,0.3333333333333333
"high",0.2,4.125,1.0
"medium",0.2,4.125,0.0
"free time",0.2,4.125,0.0
"high",1.0,2.875,0.0
"medium",1.0,2.875,0.0
"free time",1.0,2.875,0.8
"high",0.4,4.0625,0.0
"medium",0.4,4.0625,0.0
"free time",0.4,4.0625,0.0
"high",0.2,3.125,0.0
"medium",0.2,3.125,0.0
"free time",0.2,3.125,0.0
"high",0.2,3.625,0.0
"medium",0.2,3.625,0.0
"free time",0.2,3.625,0.0
"high",0.4,3.25,0.0
"medium",0.4,3.25,0.0
"free time",0.4,3.25,0.5
"high",0.6,4.625,0.0
"medium",0.6,4.625,0.0
"free time",0.6,4.625,1.0
"high",0.8,3.125,0.0
"medium",0.8,3.125,0.0
"free time",0.8,3.125,0.75
"high",0.4,2.8125,0.5
"medium",0.4,2.8125,0.0
"free time",0.4,2.8125,0.5
"high",0.2,3.6875,0.0
"medium",0.2,3.6875,1.0
"free time",0.2,3.6875,1.0
"high",0.4,3.875,0.0
"medium",0.4,3.875,0.5
"free time",0.4,3.875,0.5
"high",0.6,4.125,0.0
"medium",0.6,4.125,0.0
"free time",0.6,4.125,0.6666666666666666
"high",0.6,3.875,0.6666666666666666
"medium",0.6,3.875,0.6666666666666666
"free time",0.6,3.875,1.0
"high",0.2,4.375,0.0
"medium",0.2,4.375,0.0
"free time",0.2,4.375,1.0
"high",0.4,3.9375,0.0
"medium",0.4,3.9375,0.0
"free time",0.4,3.9375,0.0
"high",0.8,4.8125,0.0
"medium",0.8,4.8125,0.5
"free time",0.8,4.8125,0.75
"high",0.8,3.0625,0.25
"medium",0.8,3.0625,0.0
"free time",0.8,3.0625,0.0
"high",0.8,2.8125,0.25
"medium",0.8,2.8125,1.0
"free time",0.8,2.8125,0.5
"high",1.0,3.375,0.0
"medium",1.0,3.375,1.0
"free time",1.0,3.375,0.4
"high",0.6,4.8125,0.0
"medium",0.6,4.8125,0.0
"free time",0.6,4.8125,1.0
"high",0.2,3.25,0.0
"medium",0.2,3.25,0.0
"free time",0.2,3.25,1.0
"high",1.0,3.625,0.0
"medium",1.0,3.625,0.6
"free time",1.0,3.625,0.6
"high",0.8,4.125,0.0
"medium",0.8,4.125,0.75
"free time",0.8,4.125,1.0
"high",0.6,3.125,0.0
"medium",0.6,3.125,0.0
"free time",0.6,3.125,0.0
"high",1.0,3.0,0.0
"medium",1.0,3.0,0.0
"free time",1.0,3.0,0.0
"high",0.6,3.3125,0.6666666666666666
"medium",0.6,3.3125,1.0
"free time",0.6,3.3125,1.0
